New York,8091700,40.670,-73.940
Los Angeles,3847400,34.110,-118.410
Chicago,2862400,41.840,-87.680
San Francisco,746900,37.770,-122.450
Boston,577100,42.340,-71.020
Seattle,570200,47.620,-122.350
Houston,2020100,29.770,-95.390
Philadelphia,1472500,40.010,-75.130
Phoenix,1409900,33.540,-112.070
San Diego,1276000,32.810,-117.140
San Antonio,1234900,29.460,-98.510
Dallas,1212600,32.790,-96.770
Detroit,904100,42.380,-83.100
San Jose,900200,37.300,-121.850
Jacksonville,786100,30.330,-81.660
Indianapolis,778800,39.780,-86.150
Columbus,730900,39.990,-82.990
Austin,675600,30.310,-97.750
Memphis,645800,35.110,-90.010
Baltimore,624600,39.300,-76.610
Fort Worth,599800,32.750,-97.340
El Paso,591600,31.850,-106.440
Charlotte,589400,35.200,-80.830
Milwaukee,585600,43.060,-87.970
Denver,557400,39.770,-104.870
Washington,556500,38.910,-77.020
Nashville,546000,36.170,-86.780
Portland,539900,45.540,-122.660
Las Vegas,527900,36.210,-115.220
Oklahoma City,527100,35.470,-97.510
Tucson,514500,32.200,-110.890
Long Beach,479200,33.790,-118.160
Albuquerque,478900,35.120,-106.620
New Orleans,466600,30.070,-89.930
Cleveland,457600,41.480,-81.680
Fresno,457200,36.780,-119.790
Sacramento,453700,38.570,-121.470
Virginia Beach,445100,36.740,-76.040
Kansas City,443200,39.120,-94.550
Mesa,439400,33.420,-111.740
Atlanta,423900,33.760,-84.420
Omaha,408400,41.260,-96.010
Oakland,397800,37.770,-122.220
Tulsa,385900,36.130,-95.920
Miami,380500,25.780,-80.210
Minneapolis,372600,44.960,-93.270
Colorado Springs,371200,38.860,-104.760
Arlington,360300,32.690,-97.130
Wichita,354600,37.690,-97.340
Santa Ana,343100,33.740,-117.880
Anaheim,333400,33.840,-117.870
Saint Louis,329200,38.640,-90.240
Raleigh,324400,35.820,-78.660
Pittsburgh,324000,40.440,-79.980
Tampa,321300,27.960,-82.480
Cincinnati,313700,39.140,-84.510
Toledo,309000,41.660,-83.580
Aurora,294300,39.710,-104.730
Riverside,287400,33.940,-117.400
